"Año","Trimestre","Provincias","Hogares","Comercial","Gobierno","Otros","Total"
"2024","2","Córdoba","427.266","45.829","1.902","6.426","481.423"
"2024","2","Corrientes","70.887","7.603","316","1.066","79.872"
"2024","2","Entre Ríos","129.069","13.844","575","1.941","145.429"
"2024","2","Formosa","31.766","3.407","141","478","35.792"
"2024","2","Jujuy","24.661","2.645","110","371","27.787"
"2024","2","La Pampa","59.947","6.430","267","902","67.546"
"2024","2","La Rioja","20.422","2.191","91","307","23.011"
"2024","2","Mendoza","167.466","17.963","745","2.519","188.693"
"2024","2","Misiones","60.485","6.488","269","910","68.152"
"2024","2","Neuquén","60.010","6.437","267","903","67.617"
"2024","2","Río Negro","61.702","6.618","275","928","69.523"
"2024","2","Salta","66.426","7.125","296","999","74.846"
"2024","2","San Juan","47.476","5.092","211","714","53.493"
"2024","2","San Luis","24.780","2.658","110","373","27.921"
"2024","2","Santa Cruz","19.793","2.123","88","298","22.302"
"2024","2","Santa Fe","401.053","43.017","1.785","6.032","451.887"
"2024","2","Santiago del Estero","52.473","5.628","234","789","59.124"
"2024","2","Tierra del Fuego","13.093","1.404","58","197","14.752"
"2024","2","Tucumán","130.314","13.977","580","1.960","146.831"
"2024","1","Buenos Aires","2.605.367","266.413","11.613","37.782","2.921.175"
"2024","1","CABA","1.266.922","129.549","5.647","18.372","1.420.490"
"2024","1","Catamarca","24.025","2.457","107","348","26.937"
"2024","1","Chaco","68.481","7.003","305","993","76.782"
"2024","1","Chubut","51.338","5.250","229","744","57.561"
"2024","1","Córdoba","491.827","50.292","2.192","7.132","551.443"
"2024","1","Corrientes","71.232","7.284","318","1.033","79.867"
"2024","1","Entre Ríos","152.174","15.561","678","2.207","170.620"
"2024","1","Formosa","27.539","2.816","123","399","30.877"
"2024","1","Jujuy","38.812","3.969","173","563","43.517"
"2024","1","La Pampa","59.154","6.049","264","858","66.325"
"2024","1","La Rioja","21.900","2.239","98","318","24.555"
"2024","1","Mendoza","153.535","15.700","684","2.226","172.145"
"2024","1","Misiones","74.942","7.663","334","1.087","84.026"
"2024","1","Neuquén","54.748","5.598","244","794","61.384"
"2024","1","Río Negro","62.013","6.341","276","899","69.529"
"2024","1","Salta","86.893","8.885","387","1.260","97.425"
"2024","1","San Juan","53.368","5.457","238","774","59.837"
"2024","1","San Luis","25.861","2.644","115","375","28.995"
"2024","1","Santa Cruz","19.346","1.978","86","281","21.691"
"2024","1","Santa Fe","533.414","54.544","2.378","7.735","598.071"
"2024","1","Santiago del Estero","55.886","5.715","249","810","62.660"
"2024","1","Tierra del Fuego","14.988","1.533","67","217","16.805"
"2024","1","Tucumán","147.467","15.079","657","2.138","165.341"
"2023","4","Buenos Aires","2.793.773","299.661","12.436","42.016","3.147.886"
"2023","4","CABA","1.466.033","157.247","6.526","22.048","1.651.854"
"2023","4","Catamarca","18.074","1.939","80","272","20.365"
"2023","4","Chaco","47.897","5.137","213","720","53.967"
"2023","4","Chubut","48.049","5.154","214","723","54.140"
"2023","4","Córdoba","427.266","45.829","1.902","6.426","481.423"
"2023","4","Corrientes","70.887","7.603","316","1.066","79.872"
"2023","4","Entre Ríos","129.069","13.844","575","1.941","145.429"
"2023","4","Formosa","31.766","3.407","141","478","35.792"
"2023","4","Jujuy","24.661","2.645","110","371","27.787"
"2023","4","La Pampa","59.947","6.430","267","902","67.546"
"2023","4","La Rioja","20.422","2.191","91","307","23.011"
"2023","4","Mendoza","167.466","17.963","745","2.519","188.693"
"2023","4","Misiones","60.485","6.488","269","910","68.152"
"2023","4","Neuquén","60.010","6.437","267","903","67.617"
"2023","4","Río Negro","61.702","6.618","275","928","69.523"
"2023","4","Salta","66.426","7.125","296","999","74.846"
"2023","4","San Juan","47.476","5.092","211","714","53.493"
"2023","4","San Luis","24.780","2.658","110","373","27.921"
"2023","4","Santa Cruz","19.793","2.123","88","298","22.302"
"2023","4","Santa Fe","401.053","43.017","1.785","6.032","451.887"
"2023","4","Santiago del Estero","52.473","5.628","234","789","59.124"
"2023","4","Tierra del Fuego","13.093","1.404","58","197","14.752"
"2023","4","Tucumán","130.314","13.977","580","1.960","146.831"
"2023","3","Buenos Aires","2.830.114","306.770","12.290","43.040","3.192.214"
"2023","3","CABA","1.489.625","161.468","6.469","22.654","1.680.216"
"2023","3","Catamarca","18.687","2.025","81","284","21.077"
"2023","3","Chaco","50.198","5.441","218","763","56.620"
"2023","3","Chubut","53.485","5.797","232","813","60.327"
"2023","3","Córdoba","415.451","45.033","1.804","6.318","468.606"
"2023","3","Corrientes","72.824","7.894","316","1.107","82.141"
"2023","3","Entre Ríos","131.985","14.307","573","2.007","148.872"
"2023","3","Formosa","30.373","3.292","132","462","34.259"
"2023","3","Jujuy","25.585","2.773","111","389","28.858"
"2023","3","La Pampa","59.745","6.476","259","909","67.389"
"2023","3","La Rioja","20.717","2.246","90","315","23.368"
"2023","3","Mendoza","150.843","16.351","655","2.294","170.143"
"2023","3","Misiones","62.480","6.772","271","950","70.473"
"2023","3","Neuquén","66.230","7.179","288","1.007","74.704"
"2023","3","Río Negro","58.978","6.393","256","897","66.524"
"2023","3","Salta","68.812","7.459","299","1.046","77.616"
"2023","3","San Juan","56.431","6.117","245","858","63.651"
"2023","3","San Luis","23.313","2.527","101","355","26.296"
"2023","3","Santa Cruz","20.642","2.237","90","314","23.283"
"2023","3","Santa Fe","412.407","44.703","1.791","6.272","465.173"
"2023","3","Santiago del Estero","53.544","5.804","233","814","60.395"
"2023","3","Tierra del Fuego","17.597","1.907","76","268","19.848"
"2023","3","Tucumán","133.608","14.482","580","2.032","150.702"
"2023","2","Buenos Aires","2.793.773","299.661","12.436","42.016","3.147.886"
"2023","2","CABA","1.466.033","157.247","6.526","22.048","1.651.854"
"2023","2","Catamarca","18.074","1.939","80","272","20.365"
"2023","2","Chaco","47.897","5.137","213","720","53.967"
"2023","2","Chubut","48.049","5.154","214","723","54.140"
"2023","2","Córdoba","427.266","45.829","1.902","6.426","481.423"
"2023","2","Corrientes","70.887","7.603","316","1.066","79.872"
"2023","2","Entre Ríos","129.069","13.844","575","1.941","145.429"
"2023","2","Formosa","31.766","3.407","141","478","35.792"
"2023","2","Jujuy","24.661","2.645","110","371","27.787"
"2023","2","La Pampa","59.947","6.430","267","902","67.546"
"2023","2","La Rioja","20.422","2.191","91","307","23.011"
"2023","2","Mendoza","167.466","17.963","745","2.519","188.693"
"2023","2","Misiones","60.485","6.488","269","910","68.152"
"2023","2","Neuquén","60.010","6.437","267","903","67.617"
"2023","2","Río Negro","61.702","6.618","275","928","69.523"
"2023","2","Salta","66.426","7.125","296","999","74.846"
"2023","2","San Juan","47.476","5.092","211","714","53.493"
"2023","2","San Luis","24.780","2.658","110","373","27.921"
"2023","2","Santa Cruz","19.793","2.123","88","298","22.302"
"2023","2","Santa Fe","401.053","43.017","1.785","6.032","451.887"
"2023","2","Santiago del Estero","52.473","5.628","234","789","59.124"
"2023","2","Tierra del Fuego","13.093","1.404","58","197","14.752"
"2023","2","Tucumán","130.314","13.977","580","1.960","146.831"
"2023","1","Buenos Aires","2.590.193","291.279","11.371","44.983","2.937.826"
"2023","1","CABA","1.279.427","143.878","5.617","22.220","1.451.142"
"2023","1","Catamarca","24.801","2.789","109","431","28.130"
"2023","1","Chaco","70.458","7.923","309","1.224","79.914"
"2023","1","Chubut","50.618","5.692","222","879","57.411"
"2023","1","Córdoba","504.532","56.737","2.215","8.762","572.246"
"2023","1","Corrientes","73.387","8.253","322","1.275","83.237"
"2023","1","Entre Ríos","156.653","17.617","688","2.721","177.679"
"2023","1","Formosa","28.992","3.260","127","503","32.882"
"2023","1","Jujuy","40.065","4.506","176","696","45.443"
"2023","1","La Pampa","59.869","6.733","263","1.040","67.905"
"2023","1","La Rioja","22.608","2.542","99","393","25.642"
"2023","1","Mendoza","151.793","17.070","666","2.636","172.165"
"2023","1","Misiones","75.309","8.469","331","1.308","85.417"
"2023","1","Neuquén","55.106","6.197","242","957","62.502"
"2023","1","Río Negro","59.511","6.692","261","1.034","67.498"
"2023","1","Salta","89.696","10.087","394","1.558","101.735"
"2023","1","San Juan","52.756","5.933","232","916","59.837"
"2023","1","San Luis","25.564","2.875","112","444","28.995"
"2023","1","Santa Cruz","19.658","2.211","86","341","22.296"
"2023","1","Santa Fe","528.080","59.385","2.318","9.171","598.954"
"2023","1","Santiago del Estero","56.828","6.391","249","987","64.455"
"2023","1","Tierra del Fuego","14.815","1.666","65","257","16.803"
"2023","1","Tucumán","152.218","17.118","668","2.644","172.648"
"2022","4","Buenos Aires","2.802.796","264.038","12.029","49.568","3.128.431"
"2022","4","CABA","1.400.437","131.928","6.010","24.767","1.563.142"
"2022","4","Catamarca","22.473","2.117","96","397","25.083"
"2022","4","Chaco","57.950","5.459","249","1.025","64.683"
"2022","4","Chubut","48.601","4.579","209","860","54.249"
"2022","4","Córdoba","443.560","41.786","1.904","7.845","495.095"
"2022","4","Corrientes","79.748","7.513","342","1.410","89.013"
"2022","4","Entre Ríos","143.480","13.517","616","2.538","160.151"
"2022","4","Formosa","31.523","2.970","135","558","35.186"
"2022","4","Jujuy","31.944","3.009","137","565","35.655"
"2022","4","La Pampa","59.445","5.600","255","1.051","66.351"
"2022","4","La Rioja","22.924","2.159","98","405","25.586"
"2022","4","Mendoza","145.977","13.752","627","2.582","162.938"
"2022","4","Misiones","68.398","6.444","294","1.210","76.346"
"2022","4","Neuquén","61.543","5.798","264","1.088","68.693"
"2022","4","Río Negro","60.348","5.685","259","1.067","67.359"
"2022","4","Salta","77.373","7.289","332","1.368","86.362"
"2022","4","San Juan","47.306","4.457","203","837","52.803"
"2022","4","San Luis","24.822","2.338","107","439","27.706"
"2022","4","Santa Cruz","20.594","1.940","88","364","22.986"
"2022","4","Santa Fe","439.437","41.397","1.886","7.772","490.492"
"2022","4","Santiago del Estero","58.153","5.478","250","1.028","64.909"
"2022","4","Tierra del Fuego","13.289","1.252","57","235","14.833"
"2022","4","Tucumán","145.875","13.742","626","2.580","162.823"
"2022","3","Buenos Aires","2.791.694","265.040","11.756","48.270","3.116.760"
"2022","3","CABA","1.404.441","133.336","5.914","24.284","1.567.975"
"2022","3","Catamarca","22.971","2.181","97","397","25.646"
"2022","3","Chaco","58.715","5.574","247","1.015","65.551"
"2022","3","Chubut","52.576","4.991","221","909","58.697"
"2022","3","Córdoba","436.156","41.408","1.837","7.541","486.942"
"2022","3","Corrientes","80.594","7.651","339","1.393","89.977"
"2022","3","Entre Ríos","140.805","13.368","593","2.435","157.201"
"2022","3","Formosa","31.577","2.998","133","546","35.254"
"2022","3","Jujuy","32.252","3.062","136","558","36.008"
"2022","3","La Pampa","59.307","5.630","250","1.025","66.212"
"2022","3","La Rioja","22.793","2.164","96","394","25.447"
"2022","3","Mendoza","124.018","11.774","522","2.144","138.458"
"2022","3","Misiones","68.616","6.514","289","1.186","76.605"
"2022","3","Neuquén","65.457","6.214","276","1.132","73.079"
"2022","3","Río Negro","58.320","5.537","246","1.008","65.111"
"2022","3","Salta","78.622","7.464","331","1.359","87.776"
"2022","3","San Juan","54.269","5.152","229","938","60.588"
"2022","3","San Luis","22.726","2.158","96","393","25.373"
"2022","3","Santa Cruz","20.419","1.939","86","353","22.797"
"2022","3","Santa Fe","445.778","42.322","1.877","7.708","497.685"
"2022","3","Santiago del Estero","56.091","5.325","236","970","62.622"
"2022","3","Tierra del Fuego","17.128","1.626","72","296","19.122"
"2022","3","Tucumán","146.684","13.926","618","2.536","163.764"
"2022","2","Buenos Aires","2.802.796","264.038","12.029","49.568","3.128.431"
"2022","2","CABA","1.400.437","131.928","6.010","24.767","1.563.142"
"2022","2","Catamarca","22.473","2.117","96","397","25.083"
"2022","2","Chaco","57.950","5.459","249","1.025","64.683"
"2022","2","Chubut","48.601","4.579","209","860","54.249"
"2022","2","Córdoba","443.560","41.786","1.904","7.845","495.095"
"2022","2","Corrientes","79.748","7.513","342","1.410","89.013"
"2022","2","Entre Ríos","143.480","13.517","616","2.538","160.151"
"2022","2","Formosa","31.523","2.970","135","558","35.186"
"2022","2","Jujuy","31.944","3.009","137","565","35.655"
"2022","2","La Pampa","59.445","5.600","255","1.051","66.351"
"2022","2","La Rioja","22.924","2.159","98","405","25.586"
"2022","2","Mendoza","145.977","13.752","627","2.582","162.938"
"2022","2","Misiones","68.398","6.444","294","1.210","76.346"
"2022","2","Neuquén","61.543","5.798","264","1.088","68.693"
"2022","2","Río Negro","60.348","5.685","259","1.067","67.359"
"2022","2","Salta","77.373","7.289","332","1.368","86.362"
"2022","2","San Juan","47.306","4.457","203","837","52.803"
"2022","2","San Luis","24.822","2.338","107","439","27.706"
"2022","2","Santa Cruz","20.594","1.940","88","364","22.986"
"2022","2","Santa Fe","439.437","41.397","1.886","7.772","490.492"
"2022","2","Santiago del Estero","58.153","5.478","250","1.028","64.909"
"2022","2","Tierra del Fuego","13.289","1.252","57","235","14.833"
"2022","2","Tucumán","145.875","13.742","626","2.580","162.823"
"2022","1","Buenos Aires","2.735.498","266.125","11.364","49.088","3.062.075"
"2022","1","CABA","1.279.557","124.483","5.316","22.962","1.432.318"
"2022","1","Catamarca","26.940","2.621","112","483","30.156"
"2022","1","Chaco","75.774","7.372","315","1.360","84.821"
"2022","1","Chubut","54.598","5.312","227","980","61.117"
"2022","1","Córdoba","516.972","50.294","2.148","9.277","578.691"
"2022","1","Corrientes","79.448","7.729","330","1.426","88.933"
"2022","1","Entre Ríos","169.391","16.479","704","3.040","189.614"
"2022","1","Formosa","30.216","2.940","126","542","33.824"
"2022","1","Jujuy","43.490","4.231","181","780","48.682"
"2022","1","La Pampa","61.301","5.964","255","1.100","68.620"
"2022","1","La Rioja","24.556","2.389","102","441","27.488"
"2022","1","Mendoza","146.185","14.222","607","2.623","163.637"
"2022","1","Misiones","81.592","7.938","339","1.464","91.333"
"2022","1","Neuquén","58.821","5.722","244","1.056","65.843"
"2022","1","Río Negro","63.757","6.203","265","1.144","71.369"
"2022","1","Salta","97.423","9.478","405","1.748","109.054"
"2022","1","San Juan","56.073","5.455","233","1.006","62.767"
"2022","1","San Luis","26.864","2.613","112","482","30.071"
"2022","1","Santa Cruz","21.232","2.065","88","381","23.766"
"2022","1","Santa Fe","561.564","54.632","2.333","10.077","628.606"
"2022","1","Santiago del Estero","60.303","5.867","251","1.082","67.503"
"2022","1","Tierra del Fuego","16.050","1.561","67","288","17.966"
"2022","1","Tucumán","165.226","16.074","686","2.965","184.951"
"2021","4","Buenos Aires","3.012.453","234.051","14.886","51.980","3.313.370"
"2021","4","CABA","1.308.400","101.656","6.465","22.576","1.439.097"
"2021","4","Catamarca","26.944","2.093","133","465","29.635"
"2021","4","Chaco","82.580","6.416","408","1.425","90.829"
"2021","4","Chubut","62.015","4.818","306","1.070","68.209"
"2021","4","Córdoba","530.703","41.233","2.622","9.157","583.715"
"2021","4","Corrientes","89.073","6.921","440","1.537","97.971"
"2021","4","Entre Ríos","188.688","14.660","932","3.256","207.536"
"2021","4","Formosa","33.104","2.572","164","571","36.411"
"2021","4","Jujuy","40.239","3.126","199","694","44.258"
"2021","4","La Pampa","65.235","5.068","322","1.126","71.751"
"2021","4","La Rioja","24.334","1.891","120","420","26.765"
"2021","4","Mendoza","185.947","14.447","919","3.209","204.522"
"2021","4","Misiones","89.666","6.966","443","1.547","98.622"
"2021","4","Neuquén","66.022","5.129","326","1.139","72.616"
"2021","4","Río Negro","78.450","6.095","388","1.354","86.287"
"2021","4","Salta","109.367","8.497","540","1.887","120.291"
"2021","4","San Juan","60.580","4.707","299","1.045","66.631"
"2021","4","San Luis","30.022","2.332","148","518","33.020"
"2021","4","Santa Cruz","25.220","1.960","125","435","27.740"
"2021","4","Santa Fe","596.238","46.324","2.946","10.288","655.796"
"2021","4","Santiago del Estero","60.596","4.708","299","1.046","66.649"
"2021","4","Tierra del Fuego","17.217","1.338","85","297","18.937"
"2021","4","Tucumán","150.653","11.705","744","2.600","165.702"
"2021","3","Buenos Aires","2.852.029","242.423","15.465","54.601","3.164.518"
"2021","3","CABA","1.232.448","104.759","6.683","23.595","1.367.485"
"2021","3","Catamarca","22.245","1.891","121","426","24.683"
"2021","3","Chaco","66.485","5.651","361","1.273","73.770"
"2021","3","Chubut","65.869","5.599","357","1.261","73.086"
"2021","3","Córdoba","436.222","37.079","2.365","8.351","484.017"
"2021","3","Corrientes","70.346","5.979","381","1.347","78.053"
"2021","3","Entre Ríos","147.826","12.565","802","2.830","164.023"
"2021","3","Formosa","27.462","2.334","149","526","30.471"
"2021","3","Jujuy","31.688","2.693","172","607","35.160"
"2021","3","La Pampa","64.644","5.495","351","1.238","71.728"
"2021","3","La Rioja","19.479","1.656","106","373","21.614"
"2021","3","Mendoza","176.671","15.017","958","3.382","196.028"
"2021","3","Misiones","71.080","6.042","385","1.361","78.868"
"2021","3","Neuquén","66.876","5.684","363","1.280","74.203"
"2021","3","Río Negro","75.456","6.414","409","1.445","83.724"
"2021","3","Salta","84.554","7.187","458","1.619","93.818"
"2021","3","San Juan","67.447","5.733","366","1.291","74.837"
"2021","3","San Luis","31.031","2.638","168","594","34.431"
"2021","3","Santa Cruz","24.299","2.065","132","465","26.961"
"2021","3","Santa Fe","486.509","41.353","2.638","9.314","539.814"
"2021","3","Santiago del Estero","51.711","4.395","280","990","57.376"
"2021","3","Tierra del Fuego","19.443","1.653","105","372","21.573"
"2021","3","Tucumán","119.923","10.193","650","2.296","133.062"
"2021","2","Buenos Aires","3.012.453","234.051","14.886","51.980","3.313.370"
"2021","2","CABA","1.308.400","101.656","6.465","22.576","1.439.097"
"2021","2","Catamarca","26.944","2.093","133","465","29.635"
"2021","2","Chaco","82.580","6.416","408","1.425","90.829"
"2021","2","Chubut","62.015","4.818","306","1.070","68.209"
"2021","2","Córdoba","530.703","41.233","2.622","9.157","583.715"
"2021","2","Corrientes","89.073","6.921","440","1.537","97.971"
"2021","2","Entre Ríos","188.688","14.660","932","3.256","207.536"
"2021","2","Formosa","33.104","2.572","164","571","36.411"
"2021","2","Jujuy","40.239","3.126","199","694","44.258"
"2021","2","La Pampa","65.235","5.068","322","1.126","71.751"
"2021","2","La Rioja","24.334","1.891","120","420","26.765"
"2021","2","Mendoza","185.947","14.447","919","3.209","204.522"
"2021","2","Misiones","89.666","6.966","443","1.547","98.622"
"2021","2","Neuquén","66.022","5.129","326","1.139","72.616"
"2021","2","Río Negro","78.450","6.095","388","1.354","86.287"
"2021","2","Salta","109.367","8.497","540","1.887","120.291"
"2021","2","San Juan","60.580","4.707","299","1.045","66.631"
"2021","2","San Luis","30.022","2.332","148","518","33.020"
"2021","2","Santa Cruz","25.220","1.960","125","435","27.740"
"2021","2","Santa Fe","596.238","46.324","2.946","10.288","655.796"
"2021","2","Santiago del Estero","60.596","4.708","299","1.046","66.649"
"2021","2","Tierra del Fuego","17.217","1.338","85","297","18.937"
"2021","2","Tucumán","150.653","11.705","744","2.600","165.702"
"2021","1","Buenos Aires","2.874.157","247.958","15.146","66.500","3.203.761"
"2021","1","CABA","1.252.044","108.016","6.598","28.969","1.395.627"
"2021","1","Catamarca","23.860","2.059","126","552","26.597"
"2021","1","Chaco","68.032","5.869","359","1.574","75.834"
"2021","1","Chubut","65.551","5.655","345","1.517","73.068"
"2021","1","Córdoba","469.865","40.536","2.476","10.871","523.748"
"2021","1","Corrientes","70.737","6.103","373","1.637","78.850"
"2021","1","Entre Ríos","151.117","13.037","796","3.496","168.446"
"2021","1","Formosa","28.048","2.420","148","649","31.265"
"2021","1","Jujuy","38.534","3.324","203","892","42.953"
"2021","1","La Pampa","63.832","5.507","336","1.477","71.152"
"2021","1","La Rioja","21.759","1.877","115","503","24.254"
"2021","1","Mendoza","176.118","15.194","928","4.075","196.315"
"2021","1","Misiones","73.632","6.352","388","1.704","82.076"
"2021","1","Neuquén","66.749","5.759","352","1.544","74.404"
"2021","1","Río Negro","74.164","6.398","391","1.716","82.669"
"2021","1","Salta","86.315","7.447","455","1.997","96.214"
"2021","1","San Juan","67.138","5.792","354","1.553","74.837"
"2021","1","San Luis","30.888","2.665","163","715","34.431"
"2021","1","Santa Cruz","24.160","2.084","127","559","26.930"
"2021","1","Santa Fe","511.464","44.125","2.695","11.834","570.118"
"2021","1","Santiago del Estero","55.762","4.811","294","1.290","62.157"
"2021","1","Tierra del Fuego","19.353","1.670","102","448","21.573"
"2021","1","Tucumán","146.397","12.630","771","3.387","163.185"
"2020","4","Buenos Aires","2.906.464","254.292","14.992","56.709","3.232.457"
"2020","4","CABA","1.280.284","112.014","6.604","24.980","1.423.882"
"2020","4","Catamarca","30.145","2.637","155","588","33.525"
"2020","4","Chaco","72.933","6.381","376","1.423","81.113"
"2020","4","Chubut","65.655","5.744","339","1.281","73.019"
"2020","4","Córdoba","481.136","42.096","2.482","9.388","535.102"
"2020","4","Corrientes","76.714","6.712","396","1.497","85.319"
"2020","4","Entre Ríos","160.937","14.081","830","3.140","178.988"
"2020","4","Formosa","30.623","2.679","158","597","34.057"
"2020","4","Jujuy","41.079","3.594","212","801","45.686"
"2020","4","La Pampa","63.505","5.556","328","1.239","70.628"
"2020","4","La Rioja","26.351","2.305","136","514","29.306"
"2020","4","Mendoza","176.583","15.449","911","3.445","196.388"
"2020","4","Misiones","77.112","6.747","398","1.505","85.762"
"2020","4","Neuquén","67.028","5.864","346","1.308","74.546"
"2020","4","Río Negro","75.990","6.648","392","1.483","84.513"
"2020","4","Salta","91.363","7.993","471","1.783","101.610"
"2020","4","San Juan","67.290","5.887","347","1.313","74.837"
"2020","4","San Luis","30.958","2.709","160","604","34.431"
"2020","4","Santa Cruz","24.492","2.143","126","478","27.239"
"2020","4","Santa Fe","532.634","46.601","2.747","10.392","592.374"
"2020","4","Santiago del Estero","59.647","5.219","308","1.164","66.338"
"2020","4","Tierra del Fuego","19.398","1.697","100","378","21.573"
"2020","4","Tucumán","163.055","14.266","841","3.181","181.343"
"2020","3","Buenos Aires","2.919.939","236.054","15.784","61.547","3.233.324"
"2020","3","CABA","1.294.110","104.618","6.995","27.277","1.433.000"
"2020","3","Catamarca","30.339","2.453","164","640","33.596"
"2020","3","Chaco","74.542","6.026","403","1.571","82.542"
"2020","3","Chubut","65.879","5.326","356","1.389","72.950"
"2020","3","Córdoba","496.134","40.109","2.682","10.458","549.383"
"2020","3","Corrientes","77.979","6.304","422","1.644","86.349"
"2020","3","Entre Ríos","163.732","13.236","885","3.451","181.304"
"2020","3","Formosa","31.485","2.545","170","664","34.864"
"2020","3","Jujuy","41.841","3.382","226","882","46.331"
"2020","3","La Pampa","63.699","5.150","344","1.343","70.536"
"2020","3","La Rioja","26.553","2.147","144","560","29.404"
"2020","3","Mendoza","177.349","14.337","959","3.738","196.383"
"2020","3","Misiones","80.269","6.489","434","1.692","88.884"
"2020","3","Neuquén","67.261","5.438","364","1.418","74.481"
"2020","3","Río Negro","76.977","6.223","416","1.623","85.239"
"2020","3","Salta","93.160","7.531","504","1.964","103.159"
"2020","3","San Juan","67.590","5.464","365","1.425","74.844"
